ell,DlTT,DlTT_c,ratio
25,482.6650594918214,507.0999781285949,1.0506250000000001
75,1831.6893625164998,1924.4186364938987,1.0506250000000006
125,3949.383297079444,4149.32082649409,1.050625
175,4937.984687018861,5187.970161799191,1.0506250000000001
225,5111.573654546662,5370.347070808086,1.050625
275,4307.147936493799,4525.197300778797,1.0506250000000001
325,3459.130953581728,3634.2494581068026,1.050625
375,2063.480626266338,2167.944332971071,1.050625
425,1923.2165266444542,2020.5793633058295,1.050625
475,2020.7874166273446,2123.089779594104,1.0506250000000001
525,2439.9294635986694,2563.4508926933527,1.0506250000000004
575,2927.7092414727226,3075.9245218222795,1.0506250000000001
625,2268.623295485843,2383.4723498198127,1.0506249999999997
675,1980.9987039598873,2081.286763347857,1.0506250000000001
725,2060.196209005458,2164.493642086359,1.050625
775,2301.7431386691082,2418.268885064232,1.0506250000000001
825,2429.5306682238243,2552.525658302655,1.0506249999999997
875,2210.4507657217823,2322.354835736448,1.0506250000000001
925,1723.4695492028243,1810.7201951312165,1.0506249999999995
975,1184.9732004363468,1244.962468708437,1.0506250000000001
1025,1160.8115233712467,1219.5776067419163,1.0506250000000001
1075,1325.3959916988047,1392.4941637785564,1.050625
1125,1270.793855012557,1335.1277939225681,1.0506250000000004
1175,1357.4110940632904,1426.1300307002443,1.050625
1225,949.7975698297147,997.8810718023444,1.0506250000000004
1275,761.5358427390023,800.088594777664,1.0506249999999995
1325,675.3498028498756,709.5393866191506,1.0506250000000001
1375,728.9595803440648,765.8631590989833,1.0506250000000004
1425,853.7319760472941,896.9521573346885,1.0506250000000001
1475,714.8333675762238,751.0218068097702,1.050625
1525,646.8479959287296,679.5946757226213,1.0506249999999997
1575,525.0601997316227,551.6413723430361,1.0506250000000001
1625,453.6189476998646,476.5834069271702,1.050625
1675,369.83790131736424,388.56094507155575,1.050625
1725,370.29466692351014,389.0408344365129,1.0506250000000001
1775,382.4439741436383,401.80520033466,1.0506250000000001
1825,336.5812953864803,353.62072346542095,1.0506250000000004
1875,252.62014604350597,265.40904093695855,1.0506250000000004
1925,223.44887976659712,234.7609793047811,1.0506250000000001
1975,227.50052765191342,239.01774186429165,1.0506250000000006
2025,229.4426818726064,241.05821764240704,1.0506249999999997
2075,247.5442418424626,260.0761690857373,1.0506250000000001
2125,203.3556877422097,213.65056943415917,1.0506250000000004
2175,152.7670206453133,160.50085106548232,1.0506250000000004
2225,125.24076914394396,131.58108308185612,1.050625
2275,117.1426731895929,123.07302101981607,1.0506250000000001
2325,113.30035073948403,119.03618099567045,1.0506250000000004
2375,113.00320932833883,118.72399680058602,1.0506250000000004
2425,97.03811273233302,101.95066718940741,1.0506250000000004
2475,85.2571954049933,89.5733409223711,1.0506250000000001
2525,71.73396151436752,75.3654933160324,1.0506250000000004
2575,62.04546961297321,65.18652151212996,1.0506249999999997
2625,58.72385961847033,61.69675501165538,1.0506249999999997
2675,59.46555620336655,62.47599998616198,1.050625
2725,54.70467585162212,57.47410006661049,1.050625
2775,47.72988760419103,50.146213164153195,1.050625
2825,39.05272086052876,41.02976485409304,1.0506250000000004
2875,31.053503045005247,32.625586636658646,1.0506250000000004
2925,26.060866968505913,27.380198358786522,1.050625
2975,26.981025189905935,28.34693959014492,1.050625
3025,24.870772605443825,26.129855468594425,1.0506250000000001
3075,21.173351674332807,22.245252602845902,1.050625
3125,18.74716116044232,19.696236194189712,1.050625
3175,17.562488723838317,18.45158971548263,1.050625
3225,15.46778129207238,16.250837719983544,1.050625
3275,13.599281181868436,14.28774479170053,1.0506250000000001
3325,12.944545849173538,13.59986348278795,1.0506250000000001
3375,11.316948712389705,11.889869240954432,1.050625
3425,9.468013872957965,9.947332075276462,1.050625
3475,7.93586525258346,8.337618430995498,1.0506250000000001
3525,6.696761879023758,7.035785449149335,1.050625
3575,6.003476752087417,6.307402762661841,1.0506249999999997
3625,5.7964350610783315,6.089879586045424,1.0506250000000004
3675,5.499571602150517,5.777987414509389,1.0506250000000004
3725,4.965623652295556,5.2170083496930175,1.0506249999999997
3775,4.016701382218254,4.2200468896930525,1.050625
3825,3.403426453336726,3.575724917536899,1.0506250000000004
3875,2.970514355348014,3.1208966445875066,1.050625
3925,2.817734219948512,2.960382014833407,1.0506250000000006
3975,2.63272476201286,2.7660064530897626,1.0506250000000006
4025,2.1808882176667237,2.2912956836861014,1.050625
4075,1.6640740330315684,1.748317780953792,1.0506250000000001
4125,1.5087518456493854,1.585132407835386,1.0506250000000004
4175,1.3917598976537602,1.4622177424724827,1.0506250000000006
4225,1.2586446663453836,1.3223635525791193,1.0506250000000006
4275,1.185556317413851,1.2455751059829283,1.0506250000000008
4325,1.1079204037248922,1.1640088741634647,1.050625
4375,0.8634723160384874,0.9071856020379356,1.0506249999999997
4425,0.768917062323494,0.8078434886036208,1.050625
4475,0.6830020481770591,0.7175790268660226,1.0506249999999997
4525,0.5993972095796137,0.6297416933145814,1.0506249999999995
4575,0.5579570658585032,0.58620364231759,1.0506250000000001
4625,0.4960274008486007,0.521138788016561,1.0506249999999997
4675,0.40524074248211256,0.42575605507027026,1.050625000000002
4725,0.35071368990088003,0.36846857045211245,1.050625000000001
4775,0.306834334250773,0.3223678224222175,1.0506249999999973
4825,0.24752546153262006,0.26005643802270895,1.050625
4875,0.23589184688815704,0.2478338716368699,1.0506249999999997
4925,0.20693325458803233,0.21740925060155158,1.0506250000000006
4975,0.14240263551860002,0.14961176894172956,1.0506250000000028
